id,label,source_type,uspc_class,locarno_class,grant_date,invention_title,png_path,drawing_page,text_masked
D1050559,positive,positive_patent,D26,2600.0,2024-11-05,BEAUTY LAMP,data\processed\D1050559.png,3.0,True
D1050755,positive,positive_patent,D6,600.0,2024-11-12,Baby bassinet,data\processed\D1050755.png,11.0,True
D1050765,positive,positive_patent,D6,600.0,2024-11-12,Reading Pillow,data\processed\D1050765.png,3.0,True
D1050773,positive,positive_patent,D6,600.0,2024-11-12,Storage Rack,data\processed\D1050773.png,16.0,True
D1050879,positive,positive_patent,D9,900.0,2024-11-12,FOOD STORAGE CONTAINER,data\processed\D1050879.png,3.0,True
D1050952,positive,positive_patent,D12,1200.0,2024-11-12,"Motor Vehicle Body, Toy Vehicle Body Replica and/or Other Replica",data\processed\D1050952.png,3.0,True
D1051295,positive,positive_patent,D23,2300.0,2024-11-12,SHOWER HEAD,data\processed\D1051295.png,3.0,True
D1051327,positive,positive_patent,D23,2300.0,2024-11-12,Neck Fan,data\processed\D1051327.png,9.0,True
D1051385,positive,positive_patent,D24,2401.0,2024-11-12,Ear Wax Remover With Camera,data\processed\D1051385.png,12.0,True
D1051411,positive,positive_patent,D24,2401.0,2024-11-12,STIMULATION DEVICE,data\processed\D1051411.png,3.0,True
D1051473,positive,positive_patent,D26,2600.0,2024-11-12,Floor Lamp,data\processed\D1051473.png,2.0,True
D1051626,positive,positive_patent,D6,600.0,2024-11-19,Chair,data\processed\D1051626.png,5.0,True
D1051730,positive,positive_patent,D9,900.0,2024-11-19,Bottle for cosmetics,data\processed\D1051730.png,3.0,True
D1051771,positive,positive_patent,D12,1200.0,2024-11-19,"Motor Vehicle Body, Toy Vehicle Body Replica, and/or Other Replica",data\processed\D1051771.png,2.0,True
D1051779,positive,positive_patent,D12,1200.0,2024-11-19,ELECTRIC BICYCLE FRAME,data\processed\D1051779.png,9.0,True
D1051805,positive,positive_patent,D12,1200.0,2024-11-19,Polarized sun visor,data\processed\D1051805.png,2.0,True
D1051888,positive,positive_patent,D14,1400.0,2024-11-19,RFID INLAY,data\processed\D1051888.png,4.0,True
D1052403,positive,positive_patent,D9,900.0,2024-11-26,Container With Multiple Handles,data\processed\D1052403.png,3.0,True
D1052459,positive,positive_patent,D12,1200.0,2024-11-26,MOTOR VEHICLE BODY,data\processed\D1052459.png,6.0,True
D1052987,positive,positive_patent,D8,800.0,2024-12-03,DRIVING TOOL,data\processed\D1052987.png,2.0,True
D1053002,positive,positive_patent,D8,800.0,2024-12-03,THREE-DIMENSIONAL TARGET,data\processed\D1053002.png,6.0,True
D1053170,positive,positive_patent,D14,1400.0,2024-12-03,SET OF EARPHONES WITH CASE,data\processed\D1053170.png,18.0,True
D1053185,positive,positive_patent,D14,1400.0,2024-12-03,TABLET,data\processed\D1053185.png,7.0,True
D1053191,positive,positive_patent,D14,1400.0,2024-12-03,PORTABLE DISPLAY DEVICE,data\processed\D1053191.png,8.0,True
D1053201,positive,positive_patent,D14,1400.0,2024-12-03,DISPLAY SCREEN OR PORTION THEREOF WITH A GRAPHICAL USER INTERFACE,data\processed\D1053201.png,2.0,True
D1053694,positive,positive_patent,D8,800.0,2024-12-10,Grab Bar,data\processed\D1053694.png,3.0,True
D1053711,positive,positive_patent,D9,900.0,2024-12-10,Toothpaste Carton,data\processed\D1053711.png,3.0,True
D1054033,positive,positive_patent,D24,2403.0,2024-12-10,ARCHWIRE HOOK,data\processed\D1054033.png,4.0,True
D1054093,positive,positive_patent,D26,2600.0,2024-12-10,LIGHTING FIXTURE,data\processed\D1054093.png,8.0,True
D1054227,positive,positive_patent,D6,600.0,2024-12-17,SOFA,data\processed\D1054227.png,6.0,True
D1054283,positive,positive_patent,D8,800.0,2024-12-17,CORNER PROTECTOR,data\processed\D1054283.png,7.0,True
D1054284,positive,positive_patent,D9,900.0,2024-12-17,Packaging Case,data\processed\D1054284.png,3.0,True
D1054329,positive,positive_patent,D12,1200.0,2024-12-17,Ergonomic Rollator,data\processed\D1054329.png,4.0,True
D1054542,positive,positive_patent,D23,2300.0,2024-12-17,SCENT DISPENSER,data\processed\D1054542.png,12.0,True
D1054574,positive,positive_patent,D24,2401.0,2024-12-17,Hand Warmer,data\processed\D1054574.png,3.0,True
D1054584,positive,positive_patent,D24,2402.0,2024-12-17,TEST DEVICE,data\processed\D1054584.png,7.0,True
D1054602,positive,positive_patent,D26,2600.0,2024-12-17,VEHICLE HEADLIGHT,data\processed\D1054602.png,2.0,True
D1054615,positive,positive_patent,D26,2600.0,2024-12-17,WALL SCONCE LIGHT WITH PIVOTING SHADE,data\processed\D1054615.png,3.0,True
D1054730,positive,positive_patent,D6,600.0,2024-12-24,Chair,data\processed\D1054730.png,9.0,True
D1054737,positive,positive_patent,D6,600.0,2024-12-24,HAND DRYER WALL GUARD,data\processed\D1054737.png,3.0,True
D1054822,positive,positive_patent,D8,800.0,2024-12-24,CLAMP FOR A SHARPENING DEVICE USED TO SHARPEN A CUTTING TOOL,data\processed\D1054822.png,2.0,True
D1054834,positive,positive_patent,D8,800.0,2024-12-24,LOCK ACCESSORY,data\processed\D1054834.png,3.0,True
D1054855,positive,positive_patent,D9,900.0,2024-12-24,SEAL CAP,data\processed\D1054855.png,2.0,True
D1054913,positive,positive_patent,D12,1200.0,2024-12-24,Drone,data\processed\D1054913.png,9.0,True
D1054917,positive,positive_patent,D12,1200.0,2024-12-24,Automobile,data\processed\D1054917.png,8.0,True
D1055034,positive,positive_patent,D14,1400.0,2024-12-24,Wall Mount,data\processed\D1055034.png,3.0,True
D1055045,positive,positive_patent,D14,1400.0,2024-12-24,PORTABLE DISPLAY DEVICE,data\processed\D1055045.png,3.0,True
D1055070,positive,positive_patent,D14,1400.0,2024-12-24,PROTECTIVE COVER FOR A LAPTOP COMPUTER,data\processed\D1055070.png,3.0,True
D1055242,positive,positive_patent,D23,2300.0,2024-12-24,Bathtub splash guard,data\processed\D1055242.png,2.0,True
D1055245,positive,positive_patent,D23,2300.0,2024-12-24,Air Conditioner,data\processed\D1055245.png,10.0,True
D1055290,positive,positive_patent,D24,2402.0,2024-12-24,Electrode Array,data\processed\D1055290.png,3.0,True
D1055295,positive,positive_patent,D24,2402.0,2024-12-24,WRIST BRACE,data\processed\D1055295.png,3.0,True
D1055309,positive,positive_patent,D24,2402.0,2024-12-24,CONTAINER FOR PROVIDING REAGENTS,data\processed\D1055309.png,2.0,True
D1055350,positive,positive_patent,D26,2600.0,2024-12-24,ADJUSTABLE LIGHTING FIXTURE,data\processed\D1055350.png,9.0,True
D1055534,positive,positive_patent,D6,600.0,2024-12-31,Mirror,data\processed\D1055534.png,2.0,True
D1055570,positive,positive_patent,D6,600.0,2024-12-31,Pillow,data\processed\D1055570.png,2.0,True
D1055593,positive,positive_patent,D6,600.0,2024-12-31,Side table,data\processed\D1055593.png,7.0,True
D1055609,positive,positive_patent,D6,600.0,2024-12-31,ELECTRIC MASSAGING CHAIR,data\processed\D1055609.png,3.0,True
D1055656,positive,positive_patent,D8,800.0,2024-12-31,CATSPAW TOOL,data\processed\D1055656.png,2.0,True
D1055697,positive,positive_patent,D9,900.0,2024-12-31,Bottle with Cap,data\processed\D1055697.png,5.0,True
D1055773,positive,positive_patent,D12,1200.0,2024-12-31,"MOTOR VEHICLE BODY, TOY VEHICLE BODY REPLICA AND/OR OTHER REPLICA",data\processed\D1055773.png,2.0,True
D1055796,positive,positive_patent,D12,1200.0,2024-12-31,VEHICLE REAR LOWER FASCIA,data\processed\D1055796.png,2.0,True
D1055822,positive,positive_patent,D12,1200.0,2024-12-31,INSTRUMENT PANEL FOR AUTOMOBILE,data\processed\D1055822.png,3.0,True
D1055839,positive,positive_patent,D12,1200.0,2024-12-31,Articulating Cup Holders,data\processed\D1055839.png,2.0,True
D1055910,positive,positive_patent,D14,1400.0,2024-12-31,COMPUTER,data\processed\D1055910.png,6.0,True
D1055927,positive,positive_patent,D14,1400.0,2024-12-31,VR FACIAL BRACKET,data\processed\D1055927.png,2.0,True
D1055965,positive,positive_patent,D14,1400.0,2024-12-31,DISPLAY PANEL OF A PROGRAMMED COMPUTER SYSTEM WITH A GRAPHICAL USER INTERFACE,data\processed\D1055965.png,3.0,True
D1055966,positive,positive_patent,D14,1400.0,2024-12-31,Display Screen with Animated Graphical User Interface,data\processed\D1055966.png,3.0,True
D1056136,positive,positive_patent,D23,2300.0,2024-12-31,Pressure Washer Wand,data\processed\D1056136.png,2.0,True
D1056164,positive,positive_patent,D23,2300.0,2024-12-31,DOWNSPOUT FILTER,data\processed\D1056164.png,3.0,True
D1056167,positive,positive_patent,D23,2300.0,2024-12-31,Auxiliary Rack for Close Stool,data\processed\D1056167.png,10.0,True
D1056198,positive,positive_patent,D23,2300.0,2024-12-31,Top Portion of a Floor Vent,data\processed\D1056198.png,4.0,True
D1056227,positive,positive_patent,D24,2401.0,2024-12-31,HAND WARMER,data\processed\D1056227.png,10.0,True
D1056279,positive,positive_patent,D26,2600.0,2024-12-31,Car headlight,data\processed\D1056279.png,2.0,True
D1056290,positive,positive_patent,D26,2600.0,2024-12-31,ADJUSTABLE LIGHTING FIXTURE,data\processed\D1056290.png,9.0,True
D1056301,positive,positive_patent,D26,2600.0,2024-12-31,LIGHT FIXTURE,data\processed\D1056301.png,2.0,True
D555056,negative,expired_patent,D12,1200.0,2007-11-13,MIRROR,data\processed\D555056.png,4.0,True
D551554,negative,expired_patent,D9,900.0,2007-09-25,BOTTLE,data\processed\D551554.png,2.0,True
D557097,negative,expired_patent,D8,800.0,2007-12-11,BUTTERFLY IMPACT WRENCH,data\processed\D557097.png,4.0,True
D557928,negative,expired_patent,D6,600.0,2007-12-25,HUB,data\processed\D557928.png,2.0,True
D556318,negative,expired_patent,D23,2300.0,2007-11-27,CEILING FAN BLADE IRON,data\processed\D556318.png,2.0,True
D552529,negative,expired_patent,D12,1200.0,2007-10-09,BED RAIL,data\processed\D552529.png,3.0,True
D554238,negative,expired_patent,D23,2300.0,2007-10-30,COMPONENT OF A DEVICE FOR TRANSPORT OF LIQUID,data\processed\D554238.png,4.0,True
D558388,negative,expired_patent,D26,2600.0,2007-12-25,CEILING LIGHT FIXTURE,data\processed\D558388.png,3.0,True
D553270,negative,expired_patent,D26,2600.0,2007-10-16,HEADLAMP,data\processed\D553270.png,4.0,True
D556479,negative,expired_patent,D6,600.0,2007-12-04,ARMREST,data\processed\D556479.png,2.0,True
D557263,negative,expired_patent,D14,1400.0,2007-12-11,KEYBOARD WHICH IS CONNECTABLE TO AN ELECTRONIC DEVICE,data\processed\D557263.png,6.0,True
D549328,negative,expired_patent,D24,2400.0,2007-08-21,HANDLE FOR SURGICAL INSTRUMENTS,data\processed\D549328.png,2.0,True
D550813,negative,expired_patent,D23,2300.0,2007-09-11,FAUCET,data\processed\D550813.png,3.0,True
D555945,negative,expired_patent,D6,600.0,2007-11-27,TABLE FOOT,data\processed\D555945.png,2.0,True
D553462,negative,expired_patent,D8,800.0,2007-10-23,TOOL DISPENSER HAVING A SERRATED SPINE,data\processed\D553462.png,2.0,True
D556560,negative,expired_patent,D8,800.0,2007-12-04,FIXTURE FOR INSTALLING A SIDING PANEL,data\processed\D556560.png,3.0,True
D558217,negative,expired_patent,D14,1400.0,2007-12-25,DISPLAY WITH GRAPHIC USER INTERFACE,data\processed\D558217.png,5.0,True
D556914,negative,expired_patent,D24,2400.0,2007-12-04,GENE AMPLIFICATION APPARATUS,data\processed\D556914.png,4.0,True
D553986,negative,expired_patent,D9,900.0,2007-10-30,PACKAGE INSERT,data\processed\D553986.png,6.0,True
D549866,negative,expired_patent,D26,2600.0,2007-08-28,CEILING FAN LIGHT KIT,data\processed\D549866.png,5.0,True
D556024,negative,expired_patent,D8,800.0,2007-11-27,HOOK,data\processed\D556024.png,3.0,True
D555238,negative,expired_patent,D23,2300.0,2007-11-13,CEILING FAN HOUSING,data\processed\D555238.png,7.0,True
D558354,negative,expired_patent,D24,2400.0,2007-12-25,PACIFIER,data\processed\D558354.png,7.0,True
D551968,negative,expired_patent,D9,900.0,2007-10-02,CARTON,data\processed\D551968.png,3.0,True
D556564,negative,expired_patent,D9,900.0,2007-12-04,FRONT BUBBLE DISPLAY PACKAGE,data\processed\D556564.png,3.0,True
D558118,negative,expired_patent,D12,1200.0,2007-12-25,FRONT FACE OF A VEHICLE WHEEL,data\processed\D558118.png,2.0,True
D552249,negative,expired_patent,D24,2400.0,2007-10-02,SPERM SAMPLER,data\processed\D552249.png,3.0,True
D550874,negative,expired_patent,D26,2600.0,2007-09-11,CEILING FAN LIGHT KIT,data\processed\D550874.png,5.0,True
D548834,negative,expired_patent,D24,2400.0,2007-08-14,BOTTLE WITH LIQUID AND AIR COMPARTMENTS,data\processed\D548834.png,2.0,True
D550868,negative,expired_patent,D26,2600.0,2007-09-11,LIGHT EMITTING DIODE LAMP,data\processed\D550868.png,2.0,True
D549111,negative,expired_patent,D9,900.0,2007-08-21,ZINC-AIR HEARING AID BATTERY PACKAGE,data\processed\D549111.png,6.0,True
D555158,negative,expired_patent,D14,1400.0,2007-11-13,MEDIA PORT BLOCKER DEVICE,data\processed\D555158.png,7.0,True
D557534,negative,expired_patent,D6,600.0,2007-12-18,HEADBOARD,data\processed\D557534.png,2.0,True
D551335,negative,expired_patent,D23,2300.0,2007-09-18,COMBINATION CEILING FAN AND LIGHT FIXTURE,data\processed\D551335.png,2.0,True
D552946,negative,expired_patent,D8,800.0,2007-10-16,SPREADER,data\processed\D552946.png,6.0,True
D555254,negative,expired_patent,D24,2400.0,2007-11-13,ORTHOSIS,data\processed\D555254.png,7.0,True
D553067,negative,expired_patent,D12,1200.0,2007-10-16,FRONT FACE OF A VEHICLE WHEEL,data\processed\D553067.png,2.0,True
D554517,negative,expired_patent,D9,900.0,2007-11-06,CONTAINER,data\processed\D554517.png,2.0,True
D557433,negative,expired_patent,D26,2600.0,2007-12-11,EMERGENCY DEVICE,data\processed\D557433.png,2.0,True
D553930,negative,expired_patent,D8,800.0,2007-10-30,ROUTER,data\processed\D553930.png,3.0,True
D553054,negative,expired_patent,D12,1200.0,2007-10-16,STEERING DAMPER FOR A MOTORCYCLE,data\processed\D553054.png,5.0,True
D554386,negative,expired_patent,D6,600.0,2007-11-06,SEATING UNIT,data\processed\D554386.png,4.0,True
D551742,negative,expired_patent,D23,2300.0,2007-09-25,SINK,data\processed\D551742.png,6.0,True
D553871,negative,expired_patent,D6,600.0,2007-10-30,CHAIR HAVING A SWINGING SEAT,data\processed\D553871.png,4.0,True
D555647,negative,expired_patent,D14,1400.0,2007-11-20,DOUBLE DIN AUTO STEREO MOUNTING DEVICE,data\processed\D555647.png,8.0,True
D554118,negative,expired_patent,D14,1400.0,2007-10-30,COMPUTER ENCLOSURE,data\processed\D554118.png,3.0,True
D557695,negative,expired_patent,D14,1400.0,2007-12-18,PORTABLE COMPUTER,data\processed\D557695.png,3.0,True
D556103,negative,expired_patent,D12,1200.0,2007-11-27,CALIPERS FOR DISC BRAKES,data\processed\D556103.png,5.0,True
D6_gen_chair,negative,negative_opensource,D6,,,Chair line drawing (generated),data\processed\D6_gen_chair.png,1.0,False
D6_gen_sofa,negative,negative_opensource,D6,,,Sofa line drawing (generated),data\processed\D6_gen_sofa.png,1.0,False
D6_gen_table,negative,negative_opensource,D6,,,Table line drawing (generated),data\processed\D6_gen_table.png,1.0,False
D6_gen_bed,negative,negative_opensource,D6,,,Bed line drawing (generated),data\processed\D6_gen_bed.png,1.0,False
D6_gen_mirror,negative,negative_opensource,D6,,,Mirror line drawing (generated),data\processed\D6_gen_mirror.png,1.0,False
D6_gen_pillow,negative,negative_opensource,D6,,,Pillow line drawing (generated),data\processed\D6_gen_pillow.png,1.0,False
D8_gen_hammer,negative,negative_opensource,D8,,,Hammer line drawing (generated),data\processed\D8_gen_hammer.png,1.0,False
D8_gen_wrench,negative,negative_opensource,D8,,,Wrench line drawing (generated),data\processed\D8_gen_wrench.png,1.0,False
D8_gen_screwdriver,negative,negative_opensource,D8,,,Screwdriver line drawing (generated),data\processed\D8_gen_screwdriver.png,1.0,False
D8_gen_saw,negative,negative_opensource,D8,,,Hand saw line drawing (generated),data\processed\D8_gen_saw.png,1.0,False
D8_gen_pliers,negative,negative_opensource,D8,,,Pliers line drawing (generated),data\processed\D8_gen_pliers.png,1.0,False
D8_gen_level,negative,negative_opensource,D8,,,Spirit level line drawing (generated),data\processed\D8_gen_level.png,1.0,False
D9_gen_bottle,negative,negative_opensource,D9,,,Bottle line drawing (generated),data\processed\D9_gen_bottle.png,1.0,False
D9_gen_box,negative,negative_opensource,D9,,,Box line drawing (generated),data\processed\D9_gen_box.png,1.0,False
D9_gen_tin_can,negative,negative_opensource,D9,,,Tin can line drawing (generated),data\processed\D9_gen_tin_can.png,1.0,False
D9_gen_jar,negative,negative_opensource,D9,,,Jar line drawing (generated),data\processed\D9_gen_jar.png,1.0,False
D9_gen_bag,negative,negative_opensource,D9,,,Bag line drawing (generated),data\processed\D9_gen_bag.png,1.0,False
D9_gen_spray_can,negative,negative_opensource,D9,,,Spray can line drawing (generated),data\processed\D9_gen_spray_can.png,1.0,False
D12_gen_bicycle,negative,negative_opensource,D12,,,Bicycle line drawing (generated),data\processed\D12_gen_bicycle.png,1.0,False
D12_gen_car,negative,negative_opensource,D12,,,Car line drawing (generated),data\processed\D12_gen_car.png,1.0,False
D12_gen_motorcycle,negative,negative_opensource,D12,,,Motorcycle line drawing (generated),data\processed\D12_gen_motorcycle.png,1.0,False
D12_gen_bus,negative,negative_opensource,D12,,,Bus line drawing (generated),data\processed\D12_gen_bus.png,1.0,False
D12_gen_truck,negative,negative_opensource,D12,,,Truck line drawing (generated),data\processed\D12_gen_truck.png,1.0,False
D12_gen_wheel,negative,negative_opensource,D12,,,Wheel line drawing (generated),data\processed\D12_gen_wheel.png,1.0,False
D14_gen_laptop,negative,negative_opensource,D14,,,Laptop line drawing (generated),data\processed\D14_gen_laptop.png,1.0,False
D14_gen_phone,negative,negative_opensource,D14,,,Phone line drawing (generated),data\processed\D14_gen_phone.png,1.0,False
D14_gen_desktop,negative,negative_opensource,D14,,,Desktop computer (generated),data\processed\D14_gen_desktop.png,1.0,False
D14_gen_keyboard,negative,negative_opensource,D14,,,Keyboard line drawing (generated),data\processed\D14_gen_keyboard.png,1.0,False
D14_gen_headphones,negative,negative_opensource,D14,,,Headphones line drawing (generated),data\processed\D14_gen_headphones.png,1.0,False
D14_gen_tablet,negative,negative_opensource,D14,,,Tablet line drawing (generated),data\processed\D14_gen_tablet.png,1.0,False
D23_gen_faucet,negative,negative_opensource,D23,,,Faucet line drawing (generated),data\processed\D23_gen_faucet.png,1.0,False
D23_gen_showerhead,negative,negative_opensource,D23,,,Showerhead line drawing (generated),data\processed\D23_gen_showerhead.png,1.0,False
D23_gen_toilet,negative,negative_opensource,D23,,,Toilet line drawing (generated),data\processed\D23_gen_toilet.png,1.0,False
D23_gen_bathtub,negative,negative_opensource,D23,,,Bathtub line drawing (generated),data\processed\D23_gen_bathtub.png,1.0,False
D23_gen_fan,negative,negative_opensource,D23,,,Ceiling fan line drawing (generated),data\processed\D23_gen_fan.png,1.0,False
D23_gen_bucket,negative,negative_opensource,D23,,,Bucket line drawing (generated),data\processed\D23_gen_bucket.png,1.0,False
D24_gen_syringe,negative,negative_opensource,D24,,,Syringe line drawing (generated),data\processed\D24_gen_syringe.png,1.0,False
D24_gen_stethoscope,negative,negative_opensource,D24,,,Stethoscope line drawing (generated),data\processed\D24_gen_stethoscope.png,1.0,False
D24_gen_thermometer,negative,negative_opensource,D24,,,Thermometer line drawing (generated),data\processed\D24_gen_thermometer.png,1.0,False
D24_gen_pill,negative,negative_opensource,D24,,,Pill line drawing (generated),data\processed\D24_gen_pill.png,1.0,False
D24_gen_bandage,negative,negative_opensource,D24,,,Bandage line drawing (generated),data\processed\D24_gen_bandage.png,1.0,False
D24_gen_microscope,negative,negative_opensource,D24,,,Microscope line drawing (generated),data\processed\D24_gen_microscope.png,1.0,False
D26_gen_lightbulb,negative,negative_opensource,D26,,,Light bulb line drawing (generated),data\processed\D26_gen_lightbulb.png,1.0,False
D26_gen_candle,negative,negative_opensource,D26,,,Candle line drawing (generated),data\processed\D26_gen_candle.png,1.0,False
D26_gen_flashlight,negative,negative_opensource,D26,,,Flashlight line drawing (generated),data\processed\D26_gen_flashlight.png,1.0,False
D26_gen_lantern,negative,negative_opensource,D26,,,Lantern line drawing (generated),data\processed\D26_gen_lantern.png,1.0,False
D26_gen_sparkle,negative,negative_opensource,D26,,,Sparkle/light burst (generated),data\processed\D26_gen_sparkle.png,1.0,False
D26_gen_star,negative,negative_opensource,D26,,,Star/light shape (generated),data\processed\D26_gen_star.png,1.0,False
